id,fecha,iniciativa,lideres,dominio,formato,region,idioma,descripcion,fuente
1,2024-03-07,UNESCO study on gender bias in generative AI,Alessandra Sala; UNESCO Women4Ethical AI,ia_generativa,informe,global,multilingue,Divulgación pública de hallazgos sobre sesgos de género en LLM y llamado a gobernanza ética.,https://www.unesco.org/en/articles/unesco-study-reveals-alarming-evidence-regressive-gender-stereotypes-large-language-models
2,2024-10-30,UNESCO Women4Ethical AI conference,Gabriela Ramos; Alessandra Sala,ia_generativa,conferencia,global,multilingue,Conferencia con sesiones sobre estereotipos en IA generativa y emprendimiento liderado por mujeres.,https://www.unesco.org/en/articles/women4ethical-ai-conference-2024
3,2025-01-15,Women4Ethical AI platform dissemination,Alessandra Sala; UNESCO expertas,ia_generativa,comunidad,global,multilingue,Difusión continua de recomendaciones y buenas prácticas para IA con perspectiva de género.,https://www.unesco.org/es/artificial-intelligence/women4ethical-ai
4,2024-11-04,WAI Awards 2024 GenAI upskilling,Su Myat Noe; Women in AI,ia_generativa,mentoria,asia,ingles,Programa de alfabetización en IA generativa y ética para líderes y comunidades profesionales.,https://www.womeninai.co/wai-awards-2024
5,2025-03-08,IWD WaiTalk on AI careers,Women in AI chapter leads,ia_generativa,webinar,global,ingles,Jornadas de divulgación sobre IA aplicada y trayectorias profesionales con enfoque inclusivo.,https://www.womeninai.co/waitalk-iwd
6,2025-05-12,Women in AI community talks,Women in AI chapter organizers,ia_generativa,comunidad,global,ingles,Charlas abiertas para acercar conceptos de IA (incluida generativa) a audiencias no técnicas.,https://www.womeninai.co
7,2025-11-01,WiCV at CVPR 2025,Alyssa Quek; Melina Yao; coordinadoras WiCV,ia_generativa,taller,usa,ingles,Taller de divulgación y mentoría para visibilizar investigación en visión por computador e IA.,https://arxiv.org/abs/2511.08748
8,2024-10-29,WiCV at CVPR 2024 report,Organizadoras WiCV,ia_generativa,taller,usa,ingles,Reporte de impacto de comunidad y mentoría para mujeres en IA/CV.,https://arxiv.org/abs/2410.22868
9,2025-04-20,Women in AI policy and ethics roundtables,Women in AI Global,ia_generativa,mesa_redonda,europa,ingles,"Debates públicos sobre regulación, seguridad y sesgo en modelos generativos.",https://www.womeninai.co
10,2026-02-11,Women in AI educational outreach,Women in AI chapter educators,ia_generativa,curso,global,ingles,Sesiones educativas para adopción responsable de IA generativa en academia y empresa.,https://www.womeninai.co
